createdAt,updatedAt,id,createdById,updatedById,name,type,fee,transport_fee,quantity,nop,total,description
2025-04-04 02:12:12.702+00,2025-05-04 07:43:04.964+00,1,1,3,PV1 - 👤,PV,120,,1,1,120,PRIVATE 1V1 - 1 LESSON
2025-04-04 05:48:00.404+00,2025-05-04 07:43:10.716+00,2,1,3,PV4 - 👤,PV,400,,4,1,400,PRIVATE 1V1 - 4 LESSON
2025-04-04 08:27:13.303+00,2025-05-04 07:43:16.173+00,3,1,3,PV10 - 👤,PV,950,,10,1,950,PRIVATE 1V1 - 10 LESSON
2025-04-04 08:28:49.644+00,2025-05-04 07:43:21.282+00,4,1,3,PV1 - 👤👤,PV,200,,1,2,200,PRIVATE 1V2 - 1 LESSON / PERSON
2025-04-04 08:29:52.852+00,2025-05-04 07:43:30.841+00,5,1,3,PV4 - 👤👤,PV,640,,4,2,640,PRIVATE 1V2 - 4 LESSON / PERSON
2025-04-04 08:31:36+00,2025-05-04 07:43:36.366+00,6,1,3,PV10 - 👤👤,PV,1500,,10,2,1500,PRIVATE 1V2 - 10 LESSON / PERSON
2025-04-04 08:31:47.71+00,2025-05-04 07:43:44.964+00,7,1,3,PV1 - 👤👤👤,PV,270,,1,3,270,PRIVATE 1V3 - 1 LESSON / PERSON
2025-04-04 08:31:59.61+00,2025-05-04 07:43:49.904+00,8,1,3,PV4 - 👤👤👤,PV,840,,4,3,840,PRIVATE 1V3 - 4 LESSON / PERSON
2025-04-04 08:32:20.759+00,2025-05-04 07:43:55.964+00,9,1,3,PV10 - 👤👤👤,PV,1950,,10,3,1950,PRIVATE 1V3 - 10 LESSON / PERSON
2025-04-04 08:32:30.05+00,2025-05-04 07:44:23.741+00,10,1,3,PV1 - 👤👤👤👤,PV,330,,1,4,330,PRIVATE 1V4 - 1 LESSON / PERSON
2025-04-04 08:32:41.826+00,2025-05-04 07:44:31.305+00,11,1,3,PV4 - 👤👤👤👤,PV,1000,,4,4,1000,PRIVATE 1V4 - 4 LESSON / PERSON
2025-04-04 08:33:06.099+00,2025-05-04 07:44:37.458+00,12,1,3,PV10 - 👤👤👤👤,PV,2300,,10,4,2300,PRIVATE 1V4 - 10 LESSON / PERSON
2025-04-04 08:33:16.665+00,2025-05-04 07:44:42.981+00,13,1,3,D2D🅰️1 - 👤,D2D (A),120,30,1,1,150,DOOR 2 DOOR (A) 1V1 - 1 LESSON
2025-04-04 08:33:26.454+00,2025-05-04 07:44:48.72+00,14,1,3,D2D🅰️4 - 👤,D2D (A),400,100,4,1,500,DOOR 2 DOOR (A) 1V1 - 4 LESSON
