createdAt,updatedAt,id,createdById,updatedById,teaching_fee,level,type,nop
2025-04-18 13:38:29.852+00,2025-04-18 13:38:29.852+00,1,1,1,30,LV 1,PV,1
2025-04-18 13:39:11.652+00,2025-04-18 13:39:11.652+00,2,1,1,30,LV 1,PV,2
2025-04-18 13:39:30.501+00,2025-04-18 13:39:30.501+00,3,1,1,40,LV 2,PV,1
2025-04-18 13:39:42.765+00,2025-04-18 13:39:42.765+00,4,1,1,40,LV 2,PV,2
2025-04-18 13:39:51.722+00,2025-04-18 13:39:51.722+00,5,1,1,45,LV 2,PV,3
2025-04-18 13:40:00.625+00,2025-04-18 13:40:00.625+00,6,1,1,50,LV 3,PV,1
2025-04-18 13:44:11.882+00,2025-04-18 13:44:11.882+00,7,1,1,50,LV 3,PV,2
2025-04-18 13:44:21.179+00,2025-04-18 13:44:21.179+00,8,1,1,60,LV 3,PV,3
2025-04-18 13:44:31.987+00,2025-04-18 13:44:31.987+00,9,1,1,60,LV 3,PV,4
2025-04-18 13:44:46.038+00,2025-04-18 13:44:46.038+00,10,1,1,50,LV 1,D2D (A),1
2025-04-18 13:44:53.073+00,2025-04-18 13:44:53.073+00,11,1,1,50,LV 1,D2D (A),2
2025-04-18 13:45:04.695+00,2025-04-18 13:45:04.695+00,12,1,1,60,LV 2,D2D (A),1
2025-04-18 13:45:12.675+00,2025-04-18 13:45:12.675+00,13,1,1,60,LV 2,D2D (A),2
2025-04-18 13:45:23.684+00,2025-04-18 13:45:23.684+00,14,1,1,66,LV 2,D2D (A),3
2025-04-18 13:45:36.144+00,2025-04-18 13:45:36.144+00,15,1,1,70,LV 3,D2D (A),1
2025-04-18 13:45:46.631+00,2025-04-18 13:45:46.631+00,16,1,1,70,LV 3,D2D (A),2
2025-04-18 13:45:57.349+00,2025-04-18 14:00:18.307+00,17,1,1,81,LV 3,D2D (A),3
2025-04-18 13:46:06.054+00,2025-04-18 14:00:24.169+00,18,1,1,81,LV 3,D2D (A),4
2025-04-18 13:47:46.789+00,2025-04-18 13:47:46.789+00,19,1,1,70,LV 1,D2D (B),1
2025-04-18 13:47:55.412+00,2025-04-18 13:47:55.412+00,20,1,1,70,LV 1,D2D (B),2
2025-04-18 13:48:05.569+00,2025-04-18 13:48:05.569+00,21,1,1,80,LV 2,D2D (B),1
2025-04-18 13:48:13.506+00,2025-04-18 13:48:13.506+00,22,1,1,80,LV 2,D2D (B),2
2025-04-18 13:48:21.192+00,2025-04-18 13:48:21.192+00,23,1,1,90,LV 2,D2D (B),3
2025-04-18 13:50:36.12+00,2025-04-18 13:50:36.12+00,24,1,1,80,LV 2,D2D (B),1
2025-04-18 13:50:43.644+00,2025-04-18 13:50:43.644+00,25,1,1,80,LV 2,D2D (B),2
2025-04-18 13:50:51.447+00,2025-04-18 13:50:51.447+00,26,1,1,87,LV 2,D2D (B),3
2025-04-18 14:01:08.418+00,2025-04-18 14:01:53.302+00,27,1,1,90,LV 3,D2D (B),1
2025-04-18 14:01:17.507+00,2025-04-18 14:02:00.812+00,28,1,1,90,LV 3,D2D (B),2
2025-04-18 14:02:14.281+00,2025-04-18 14:02:14.281+00,29,1,1,102,LV 3,D2D (B),3
2025-04-18 14:02:23.342+00,2025-04-18 14:02:23.342+00,30,1,1,102,LV 3,D2D (B),4
