createdAt,updatedAt,id,createdById,updatedById,name
2025-04-20 13:18:18.052+00,2025-04-20 13:18:18.052+00,4,1,1,Dambience Residence Permas 2
2025-04-20 13:18:27.134+00,2025-04-20 13:22:05.356+00,5,1,1,Wave Marina Cove Apartment
2025-04-20 13:18:40.261+00,2025-04-20 13:22:16.858+00,6,1,1,Sky Habitat Apartment @ Tenteram
2025-04-20 13:18:51.492+00,2025-04-20 13:18:51.492+00,7,1,1,Straits View Condominium
2025-04-20 13:18:59.362+00,2025-04-20 13:18:59.362+00,8,1,1,Straits View Residence
2025-04-20 13:19:05.109+00,2025-04-20 13:20:26.564+00,9,1,1,Eco Cascadia - Aurora
2025-04-20 13:19:11.233+00,2025-04-20 13:19:11.233+00,10,1,1,Eco Spring Clubhouse
2025-04-20 13:19:19.109+00,2025-04-20 13:19:19.109+00,11,1,1,Akademik Suite Austin
2025-04-20 13:19:49.189+00,2025-04-20 13:19:49.189+00,12,1,1,G Residence Plentong
2025-04-20 13:20:01.612+00,2025-04-20 13:20:01.612+00,13,1,1,Ksl Residence Taman Daya
2025-04-20 13:20:14.871+00,2025-04-20 13:20:14.871+00,14,1,1,Sunway Lenang Heights
2025-04-20 13:20:40.171+00,2025-04-20 13:20:40.171+00,15,1,1,Wateredge Apartments Senibong Cove
2025-04-20 13:20:49.137+00,2025-04-20 13:20:49.137+00,16,1,1,Green Haven Apartments
2025-04-20 13:21:05.24+00,2025-04-20 13:21:05.24+00,17,1,1,Seri Mutiara Apartment Seri Alam
2025-04-20 13:21:14.2+00,2025-04-20 13:21:14.2+00,18,1,1,Crescent Bay Suites
2025-04-20 13:21:20.94+00,2025-04-20 13:21:20.94+00,19,1,1,Grandview 360 Apartment
2025-04-20 13:21:33.677+00,2025-04-20 13:21:33.677+00,20,1,1,The Gardens @ Polo Park
2025-04-20 13:21:52.195+00,2025-04-20 13:21:52.195+00,21,1,1,D' Secret Garden Kempas Indah
2025-05-11 05:05:48.373+00,2025-05-11 05:05:48.373+00,22,3,3,Isola Grandeur Senibong Cove
2025-07-23 09:24:36.663+00,2025-07-23 09:24:36.663+00,23,3,3,Condominium Datin Halimah Tampoi
2025-07-25 03:13:02.537+00,2025-07-25 03:13:02.537+00,24,3,3,Seri Austin Luxury Apartment
2025-10-10 07:44:52.507+00,2025-10-10 07:44:52.507+00,25,3,3,Fair View Apartment Permas Jaya
2025-10-17 10:52:31.331+00,2025-10-17 10:52:31.331+00,26,3,3,Twin Tower Residence
2025-12-04 11:22:20.769+00,2025-12-04 11:22:20.769+00,27,3,3,Eco Cascadia - Foresta
2025-12-17 11:50:46.498+00,2025-12-17 11:51:01.61+00,28,3,3,Arc Austin Hill Apartments Taman Daya
2025-12-22 07:05:05.585+00,2025-12-22 07:05:05.585+00,29,3,3,Midas Seri Alam Apartment
2026-01-22 03:24:54.415+00,2026-01-22 03:24:54.415+00,31,3,3,Molek Grove
2026-01-24 09:15:45.496+00,2026-01-24 09:15:45.496+00,32,3,3,Larkin Residence 2
2026-01-24 09:15:53.64+00,2026-01-24 09:15:53.64+00,33,3,3,Ksl Residence 2
2026-02-08 08:04:13.528+00,2026-02-08 08:04:13.528+00,34,3,3,Eco Cascadia - Alluvia
2026-04-09 06:31:01.34+00,2026-04-09 06:31:01.34+00,35,3,3,One 49 Residence
